Rank,Name,Year,Rating,Number of viewers,Director
212,Rocky,1976,8.0,592108, Avildsen
213,Platoon,1986,8.0,420661,Oliver Stone
214,Ratatouille,2007,8.0,756285,Brad Bird
215,Spotlight,2015,8.0,478580,Tom McCarthy
216,Logan,2017,8.0,779005,James Mangold
217,The Terminator,1984,8.0,878708,James Cameron
218,Stand by Me,1986,8.0,413065,Rob Reiner
219,Rush,2013,8.0,487566,Ron Howard
220,Network,1976,8.0,162247,Sidney Lumet
221,Before Sunset,2004,8.0,271064,Richard Linklater
222,Into the Wild,2007,8.0,631368,Sean Penn
223,The Wizard of Oz,1939,8.0,407239,Victor Fleming
224,The Best Years of Our Lives,1946,8.0,66494,William Wyler
225,Groundhog Day,1993,8.0,645247,Harold Ramis
226,The Exorcist,1973,8.0,416734,William Friedkin
227,The Incredibles,2004,8.0,753158,Brad Bird
228,Pather Panchali,1955,8.0,34521,Satyajit Ray
229,La haine,1995,8.0,178949,Mathieu Kassovitz
230,To Be or Not to Be,1942,8.0,39104,Ernst Lubitsch
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,1144195,Gore Verbinski
232,Hachi: A Dog's Tale,2009,8.0,292068,Lasse Hallström
233,The Grapes of Wrath,1940,8.0,95442,John Ford
234,The Battle of Algiers,1966,8.0,61867,Gillo Pontecorvo
235,Jai Bhim,2021,8.0,205239, Gnanavel
236,My Father and My Son,2005,8.0,87733,Çagan Irmak
237,Amores Perros,2000,8.0,244112, Iñárritu
238,Rebecca,1940,8.0,139869,Alfred Hitchcock
239,Cool Hand Luke,1967,8.0,180143,Stuart Rosenberg
240,The Handmaiden,2016,8.0,154317,wook
241,The 400 Blows,1959,8.0,121017,François Truffaut
242,The Sound of Music,1965,8.0,242169,Robert Wise
243,It Happened One Night,1934,8.0,106450,Frank Capra
244,Persona,1966,8.0,122309,Ingmar Bergman
245,Life of Brian,1979,8.0,406018,Terry Jones
246,The Iron Giant,1999,8.0,205888,Brad Bird
247,The Help,2011,8.0,468092,Tate Taylor
248,Dersu Uzala,1975,8.0,31388,Akira Kurosawa
249,Aladdin,1992,8.0,431169,Ron Clements
250,Dances with Wolves,1990,8.0,273444,Kevin Costner
